# x86 / Windows reference measurements for "Four Ways to Wait" (EduHPC-2026 short paper).
# Companion to reference_results.csv (Apple M1). Same schema; append or keep separate.
# Device: Intel Core Ultra 7 265 "Arrow Lake-S" (Family 6 Model 198 Stepping 2),
#         20 physical cores / 20 logical processors, THREADS PER CORE = 1 (no SMT --
#         the Core Ultra 200S generation has no Hyper-Threading to disable),
#         hybrid: 8 P-cores (base 2400 MHz) + 12 E-cores (base 1800 MHz),
#         16 GB, Windows 11 Enterprise 10.0.26200, desktop on AC,
#         power mode Ultimate Performance.
# Toolchain: portable WinLibs MinGW-w64 GCC 16.1.0 (UCRT, POSIX threads),
#            gcc -O2 -pthread -static. No WSL available on this machine.
# Timings are wall clock, CLOCK_MONOTONIC. Harnesses discard a warm-up pass and
# report best-of-three unless noted. Measured 30 July 2026.
#
# CAUTION: absolute compute times are NOT comparable to the M1 rows -- different
# compiler on a serial FP dependency chain. Ratios are within-machine and are safe.
#
# CPU numbering is not P-cores-first:
#   P-cores = CPUs 0,1,6,7,8,9,18,19    E-cores = CPUs 2,3,4,5,10,11,12,13,14,15,16,17
lab,workload,threads,metric,value,unit,note
1,taskgraph,,parallelism,1.9,workers,T1/Tinf
1,taskgraph,1,makespan,5.27,s,
1,taskgraph,2,makespan,3.52,s,
1,taskgraph,3,makespan,2.81,s,pins to span here
1,taskgraph,4,makespan,2.81,s,
1,taskgraph,6,makespan,2.82,s,
1,taskgraph,8,makespan,2.81,s,speedup 1.85x efficiency 23%
1,taskgraph_browser,8,makespan,2770,ms,Edge 148 same machine; speedup 1.88x
2,imbalance_block,8,makespan,2.746,s,imbalance 1.85 idle 45.9%
2,imbalance_cyclic,8,makespan,1.414,s,imbalance 1.00 idle 0.5%
2,imbalance_dyn64,8,makespan,1.542,s,imbalance 1.11 idle 10.0%
2,imbalance_dyn1,8,makespan,1.393,s,imbalance 1.00 idle 0.2%
2,imbalance_block,20,makespan,1.315,s,imbalance 2.03 idle 50.8%
2,imbalance_cyclic,20,makespan,0.717,s,imbalance 1.02 idle 4.2%
2,imbalance_dyn64,20,makespan,0.869,s,imbalance 1.27 idle 22.3%
2,imbalance_dyn1,20,makespan,0.933,s,"imbalance 1.01 idle 1.3%; SLOWER than cyclic at 20 threads -- 20 threads contending on one queue mutex. Extra teaching point."
2,imbalance_browser_block,8,makespan,266,ms,imbalance 1.83
2,imbalance_browser_dyn64,8,makespan,189,ms,imbalance 1.11; 1.41x over block
2,imbalance_browser_dyn8,8,makespan,166,ms,imbalance 1.03; 1.60x over block
3,counter_naive,8,surviving_increments,2911282,of 16000000,"range 2.91-4.21 M over five runs = 18-26% survive; INCS=2000000 default, NOT the 40 M used for the M1 row -- check before comparing"
3,counter_mutex,8,cost_per_increment,51,ns,0.813 s for 16 M; correct every run
3,counter_atomic,8,cost_per_increment,10,ns,0.163 s for 16 M; ~5x cheaper than the mutex
3,counter_private,8,cost_per_increment,0.2,ns,0.003 s for 16 M; effectively free
3,pipeline,2,throughput,0.12,M items/s,buffer 1; producer blocked 199999 times
3,pipeline,2,throughput,0.95,M items/s,buffer 8
3,pipeline,2,throughput,7.54,M items/s,buffer 64
3,pipeline,2,throughput,7.23,M items/s,buffer 512; producer blocked 699 times; plateau from 64
3,deadlock_bad,2,outcome,hang,,watchdog fires at 3 s; exit 2 -- correct
3,deadlock_good,2,outcome,false_deadlock,,"WINDOWS BUG IN THE LAB: reports DEADLOCK and exits 2 although nothing is deadlocked. usleep(1000) actually takes 15.696 ms on Windows (system timer tick), so the ordered path needs 5.80 s and always trips the 3 s watchdog. With the watchdog raised to 60 s it completes correctly in 5.42 s: A=1000 B=1000 total=2000. Fix before students run this on Windows."
3,usleep_granularity,,actual_duration,15.696,ms,for a requested 1000 us; usleep(100) returns immediately
